Timestamp,Sensor1_Temperature,Sensor1_Humidity
2024-12-06 21:39:13,53.8,4.6
2024-12-06 21:39:14,53.8,4.7
2024-12-06 21:39:15,53.9,4.7
2024-12-06 21:39:17,53.9,4.7
2024-12-06 21:39:19,54,4.6
2024-12-06 21:39:20,54,4.6
2024-12-06 21:39:22,53.9,4.5
2024-12-06 21:39:24,54,4.7
2024-12-06 21:39:26,54.1,4.6
2024-12-06 21:39:29,54,4.6
2024-12-06 21:39:30,54,4.6
2024-12-06 21:39:32,54.1,4.6
2024-12-06 21:39:34,54.1,4.6
2024-12-06 21:39:35,54.1,4.6
2024-12-06 21:39:37,54.1,4.7
2024-12-06 21:39:39,54.1,4.6
2024-12-06 21:39:41,54.1,4.7
2024-12-06 21:39:43,54.2,4.6
2024-12-06 21:39:45,54.1,4.6
2024-12-06 21:39:47,54.1,4.6
2024-12-06 21:39:49,54.2,4.7
2024-12-06 21:39:51,54.2,4.6
2024-12-06 21:39:53,54.2,4.7
2024-12-06 21:39:54,54.2,4.7
2024-12-06 21:39:56,54.2,4.7
2024-12-06 21:39:59,54.2,4.7
2024-12-06 21:40:00,54.2,4.7
2024-12-06 21:40:02,54.2,4.7
2024-12-06 21:40:04,54.3,4.8
2024-12-06 21:40:06,54.3,4.8
2024-12-06 21:40:07,54.3,4.8
2024-12-06 21:40:09,54.3,4.8
2024-12-06 21:40:10,54.3,4.8
2024-12-06 21:40:12,54.3,4.9
2024-12-06 21:40:14,54.3,4.8
2024-12-06 21:40:16,54.4,4.8
2024-12-06 21:40:18,54.4,4.6
2024-12-06 21:40:19,54.4,4.6
2024-12-06 21:40:22,54.4,4.6
2024-12-06 21:40:24,54.4,4.7
2024-12-06 21:40:26,54.5,4.6
2024-12-06 21:40:28,54.5,4.6
2024-12-06 21:40:29,54.5,4.6
2024-12-06 21:40:31,54.6,4.6
2024-12-06 21:40:33,54.7,4.5
2024-12-06 21:40:35,54.8,4.5
2024-12-06 21:40:37,54.9,4.6
2024-12-06 21:40:39,54.9,4.6
2024-12-06 21:40:42,54.9,4.6
2024-12-06 21:40:44,55,4.6
2024-12-06 21:40:46,54.9,4.5
